"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Channel Islands","CHI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","590","650","670","670","750","770","790","820","880","1050","1140","1350","1650","1140","1010","1060","1360","1780","2290","2770","2270","1810","1580","1420","1460","1650","1920","2180","2340","2590","3100","3430","3720","4410","5070","5610","5520","5150","5080","4820","4570","4620","5260","6270","7430","8790","10060","9980","10820","11970","14310","15230","14830","14210","13440","13340","14600","14830","13010","14800","15360",
"China","CHN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","70","80","90","100","110","100","90","110","120","130","130","160","180","200","190","190","200","210","220","220","220","220","250","290","310","320","330","320","330","350","390","420","470","540","650","750","800","860","940","1010","1110","1280","1510","1760","2060","2510","3100","3680","4340","5040","5910","6740","7470","7890","8210","8670","9540","10310","10520","11930","12850",
"Cote d'Ivoire","CIV","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","160","170","200","200","220","220","250","260","280","280","300","360","450","560","640","740","910","1090","1120","1100","940","710","650","630","730","820","920","830","780","750","780","750","680","690","540","660","740","720","640","580","560","610","750","900","900","930","1060","1150","1190","1080","1220","1320","1990","2010","2020","2010","2160","2280","2290","2470","2620",
"Cameroon","CMR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","120","140","160","160","170","190","220","290","360","340","350","530","650","650","800","790","720","740","800","980","1150","1220","1110","1000","930","950","980","880","860","770","780","760","750","720","690","690","820","1020","1130","1190","1230","1350","1440","1440","1450","1450","1510","1570","1520","1450","1400","1500","1540","1520","1590","1660",
"Congo, Dem. Rep.","COD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","140","130","120","120","100","130","130","190","160","190","200","220","250","280","290","310","330","370","400","430","440","450","440","480","510","540","560","590",
"Congo, Rep.","COG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","140","140","150","160","170","180","200","200","210","220","260","320","400","470","460","430","470","590","800","1070","1210","1070","1060","990","970","1040","920","930","920","950","1050","900","750","470","460","590","580","500","560","620","670","690","760","1100","1570","1670","2110","2420","2650","2600","3350","3590","3830","2970","2130","1640","1910","1980","1760","1970","2060",
"Colombia","COL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","290","290","310","320","320","300","310","320","340","370","400","470","560","610","640","710","870","1090","1290","1380","1370","1310","1310","1240","1240","1260","1320","1270","1350","1400","1590","1770","2080","2380","2570","2690","2590","2360","2360","2350","2400","2400","2640","3030","3540","4170","4770","5190","5680","6370","7330","8000","8260","7400","6530","6010","6320","6590","5800","6220","6510",
"Comoros","COM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","620","550","520","520","590","740","910","890","930","910","1060","1050","850","830","770","790","730","710","730","710","690","800","970","1120","1170","1210","1350","1440","1450","1480","1500","1580","1580","1470","1410","1370","1480","1520","1520","1580","1610",
"Cabo Verde","CPV","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","460","420","410","410","470","600","770","830","830","840","970","1110","1220","1320","1260","1270","1240","1280","1310","1260","1220","1420","1790","2030","2160","2720","3300","3580","3520","3640","3580","3640","3520","3360","3280","3280","3630","3960","3190","3490","4140",
"Costa Rica","CRI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","350","350","340","360","390","400","440","470","520","560","630","750","880","960","1040","1230","1460","1720","1930","1400","1010","930","1100","1220","1420","1580","1630","1640","1720","1930","2320","2710","2950","3160","3220","3330","3390","3450","3560","3660","3750","4000","4350","4610","5020","5630","6350","6480","7190","8020","9190","9840","10250","10610","11000","11400","11880","12040","11500","12340","12670",
"Caribbean small states","CSS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","478.658288944794","518.62654177623","562.471352003173","605.153053572525","606.660614907805","640.272090121802","666.033269459393","695.682007068414","745.730315109764","786.860435111389","933.039487334548","1034.69633066829","1221.78162708906","1546.97945178051","1573.87089142796","1698.60948851107","1852.91140666622","2048.57684450455","2361.46636107494","2628.65149749166","2799.66151606252","2685.58969369779","2620.97150598335","2574.90490618188","2497.79982190903","2559.47260239689","2770.19056410538","2806.73846996827","2810.81187274033","2815.34242109439","2931.13726572418","2980.13178901176","3018.31890446896","3380.06917772054","3672.63193830467","3836.19495041014","4022.08320537026","4527.26610459771","4871.58443612183","4992.71922652261","5200.65314971493","5664.68202195978","6297.42183715872","6853.87954780247","7584.78474778427","8301.73233618276","9201.36007233387","8853.65130344575","8970.90123276509","8825.98626182213","9708.4162744769","10169.2144344138","10276.1297308615","10185.163471236","9560.7701260514","9499.77881874672","9730.29403450544","10075.4975674838","8915.77791531801","9733.48182257836","11292.2042589116",
"Cuba","CUB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","830","1030","1230","1490","1540","1600","1780","2000","2150","2440","2350","2180","2300","2300","2380","2480","2770","2740","2650","2330","2120","1870","2130","2540","2700","2500","2240","2400","2620","2760","2830","3100","3500","3970","4410","4740","5040","5090","5170","5590","6080","6620","6820","7220","7480","7950","8630","8920","","","",
"Curacao","CUW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19890","19760","19520","19030","18960","19430","19700","16690","18430","",
"Cayman Islands","CYM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73590","74100","51400","45330","43850","44970","48480","52670","58820","65690","62420","65190","",
"Cyprus","CYP","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","1520","1800","2400","3390","4050","4490","4220","4360","4480","5020","6300","7910","8570","9300","9460","11020","10970","11680","12810","13880","14280","15490","14340","14180","14170","14510","16710","20260","23990","25600","27340","31970","32780","32130","32640","29760","27890","26610","26100","24840","25050","27410","28560","26610","28470","30540",
"Czechia","CZE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3360","3500","4170","5150","5980","6160","6110","6110","6340","6350","6650","8110","10260","12480","14000","15850","18510","18840","19400","19460","19440","19410","18900","18370","17670","18310","20560","22120","21800","24530","26590",
"Germany","DEU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","3600","4670","5800","6720","7130","7670","8870","11050","13010","12540","11120","10020","9880","9840","11240","14240","18620","19760","21300","22890","25810","25990","27530","29520","30860","30140","27950","26840","26180","24770","23680","26140","31670","35770","38270","40470","43650","43660","44680","47320","46560","47220","47640","45780","44280","43760","47490","49220","48050","51660","53390",
