id;tipo;produto;ano;Total
3;VINHO DE MESA;Branco;2010;35408083
4;VINHO DE MESA;Rosado;2010;2569809
6;VINHO FINO DE MESA (VINÍFERA);Tinto;2010;11401406
7;VINHO FINO DE MESA (VINÍFERA);Branco;2010;13013027
8;VINHO FINO DE MESA (VINÍFERA);Rosado;2010;391280
10;SUCO;Suco de uva integral;2010;26887259
11;SUCO;Suco de uva concentrado;2010;23238685
12;SUCO;Suco de uva adoçado;2010;0
13;SUCO;Suco de uva orgânico;2010;0
14;SUCO;Suco de uva reconstituído;2010;0
16;DERIVADOS;Espumante;2010;10125
17;DERIVADOS;Espumante moscatel;2010;703393
18;DERIVADOS;Base espumante;2010;0
19;DERIVADOS;Base espumante moscatel;2010;1144508
20;DERIVADOS;Base Champenoise champanha;2010;92082
21;DERIVADOS;Base Charmat champanha;2010;254000
22;DERIVADOS;Bebida de uva;2010;7900
23;DERIVADOS;Polpa de uva;2010;1951606
24;DERIVADOS;Mosto simples;2010;45912040
25;DERIVADOS;Mosto concentrado;2010;0
26;DERIVADOS;Mosto de uva com bagaço;2010;0
27;DERIVADOS;Mosto dessulfitado;2010;0
28;DERIVADOS;Mistelas;2010;0
29;DERIVADOS;Néctar de uva;2010;0
30;DERIVADOS;Licorosos;2010;0
31;DERIVADOS;Compostos;2010;0
32;DERIVADOS;Jeropiga;2010;69000
33;DERIVADOS;Filtrado;2010;0
34;DERIVADOS;Frisante;2010;831000
35;DERIVADOS;Vinho leve;2010;0
36;DERIVADOS;Vinho licoroso;2010;15000
37;DERIVADOS;Brandy;2010;0
38;DERIVADOS;Destilado;2010;0
39;DERIVADOS;Bagaceira;2010;0
40;DERIVADOS;Licor de bagaceira;2010;0
41;DERIVADOS;Vinagre;2010;5817
42;DERIVADOS;Borra líquida;2010;64304
43;DERIVADOS;Borra seca;2010;149981
44;DERIVADOS;Vinho Composto;2010;0
45;DERIVADOS;Pisco;2010;0
46;DERIVADOS;Vinho orgânico;2010;0
47;DERIVADOS;Espumante orgânico;2010;0
48;DERIVADOS;Destilado alcoólico simples de bagaceira ;2010;0
49;DERIVADOS;Vinho acidificado ;2010;0
50;DERIVADOS;Mosto parcialmente fermentado ;2010;0
51;DERIVADOS;Outros derivados;2010;0
2;VINHO DE MESA;Tinto;2011;210113358
3;VINHO DE MESA;Branco;2011;46007504
4;VINHO DE MESA;Rosado;2011;1719887
6;VINHO FINO DE MESA (VINÍFERA);Tinto;2011;24104740
7;VINHO FINO DE MESA (VINÍFERA);Branco;2011;22739426
8;VINHO FINO DE MESA (VINÍFERA);Rosado;2011;754305
10;SUCO;Suco de uva integral;2011;39487800
11;SUCO;Suco de uva concentrado;2011;29564324
12;SUCO;Suco de uva adoçado;2011;312200
13;SUCO;Suco de uva orgânico;2011;0
14;SUCO;Suco de uva reconstituído;2011;0
16;DERIVADOS;Espumante;2011;26361
17;DERIVADOS;Espumante moscatel;2011;219100
18;DERIVADOS;Base espumante;2011;0
19;DERIVADOS;Base espumante moscatel;2011;2749540
20;DERIVADOS;Base Champenoise champanha;2011;74746
21;DERIVADOS;Base Charmat champanha;2011;865858
22;DERIVADOS;Bebida de uva;2011;0
23;DERIVADOS;Polpa de uva;2011;2480120
24;DERIVADOS;Mosto simples;2011;77285998
25;DERIVADOS;Mosto concentrado;2011;0
26;DERIVADOS;Mosto de uva com bagaço;2011;1037600
27;DERIVADOS;Mosto dessulfitado;2011;0
28;DERIVADOS;Mistelas;2011;0
29;DERIVADOS;Néctar de uva;2011;0
30;DERIVADOS;Licorosos;2011;0
31;DERIVADOS;Compostos;2011;0
32;DERIVADOS;Jeropiga;2011;0
33;DERIVADOS;Filtrado;2011;0
34;DERIVADOS;Frisante;2011;1003800
35;DERIVADOS;Vinho leve;2011;0
36;DERIVADOS;Vinho licoroso;2011;0
37;DERIVADOS;Brandy;2011;0
38;DERIVADOS;Destilado;2011;0
39;DERIVADOS;Bagaceira;2011;0
40;DERIVADOS;Licor de bagaceira;2011;0
41;DERIVADOS;Vinagre;2011;0
42;DERIVADOS;Borra líquida;2011;0
43;DERIVADOS;Borra seca;2011;0
44;DERIVADOS;Vinho Composto;2011;0
45;DERIVADOS;Pisco;2011;0
46;DERIVADOS;Vinho orgânico;2011;5600
47;DERIVADOS;Espumante orgânico;2011;0
48;DERIVADOS;Destilado alcoólico simples de bagaceira ;2011;0
49;DERIVADOS;Vinho acidificado ;2011;0
50;DERIVADOS;Mosto parcialmente fermentado ;2011;0
51;DERIVADOS;Outros derivados;2011;0
2;VINHO DE MESA;Tinto;2012;175875432
3;VINHO DE MESA;Branco;2012;34938249
4;VINHO DE MESA;Rosado;2012;1963356
6;VINHO FINO DE MESA (VINÍFERA);Tinto;2012;24027589
7;VINHO FINO DE MESA (VINÍFERA);Branco;2012;20647238
8;VINHO FINO DE MESA (VINÍFERA);Rosado;2012;525903
10;SUCO;Suco de uva integral;2012;31908829
