Ano;Vinhos;Total;Tipo
2020;Malvasia Verde;26597;Brancas/Rosadas
2021;Malvasia Verde;3578;Brancas/Rosadas
2006;Malvasia di Candia;228221;Brancas/Rosadas
2007;Malvasia di Candia;283476;Brancas/Rosadas
2008;Malvasia di Candia;628749;Brancas/Rosadas
2009;Malvasia di Candia;739588;Brancas/Rosadas
2010;Malvasia di Candia;649194;Brancas/Rosadas
2011;Malvasia di Candia;1727224;Brancas/Rosadas
2012;Malvasia di Candia;1825193;Brancas/Rosadas
2013;Malvasia di Candia;1692882;Brancas/Rosadas
2014;Malvasia di Candia;1888539;Brancas/Rosadas
2015;Malvasia di Candia;2512864;Brancas/Rosadas
2016;Malvasia di Candia;1268750;Brancas/Rosadas
2017;Malvasia di Candia;2785543;Brancas/Rosadas
2018;Malvasia di Candia;2557871;Brancas/Rosadas
2020;Malvasia di Candia;3389071;Brancas/Rosadas
2021;Malvasia di Candia;1544223;Brancas/Rosadas
2020;Malvasia Istriana;1090;Brancas/Rosadas
2021;Malvasia Istriana;950;Brancas/Rosadas
2021;Mistura de uvas viníferas branco;12278;Brancas/Rosadas
2021;Mistura de uvas viníferas rosado;325922;Brancas/Rosadas
2006;Moscato Branco;10748618;Brancas/Rosadas
2007;Moscato Branco;15717087;Brancas/Rosadas
2008;Moscato Branco;14744061;Brancas/Rosadas
2009;Moscato Branco;14294841;Brancas/Rosadas
2010;Moscato Branco;8595609;Brancas/Rosadas
2011;Moscato Branco;16871284;Brancas/Rosadas
2012;Moscato Branco;13322429;Brancas/Rosadas
2013;Moscato Branco;13136399;Brancas/Rosadas
2014;Moscato Branco;12669980;Brancas/Rosadas
2015;Moscato Branco;12788740;Brancas/Rosadas
2016;Moscato Branco;6068181;Brancas/Rosadas
2017;Moscato Branco;14475142;Brancas/Rosadas
2018;Moscato Branco;11202231;Brancas/Rosadas
2020;Moscato Branco;11868851;Brancas/Rosadas
2021;Moscato Branco;12100995;Brancas/Rosadas
2006;Moscato Canelli;57796;Brancas/Rosadas
2007;Moscato Canelli;84053;Brancas/Rosadas
2008;Moscato Canelli;65107;Brancas/Rosadas
2009;Moscato Canelli;61009;Brancas/Rosadas
2010;Moscato Canelli;55811;Brancas/Rosadas
2011;Moscato Canelli;92887;Brancas/Rosadas
2012;Moscato Canelli;123255;Brancas/Rosadas
2013;Moscato Canelli;64800;Brancas/Rosadas
2014;Moscato Canelli;85785;Brancas/Rosadas
2015;Moscato Canelli;72462;Brancas/Rosadas
2016;Moscato Canelli;30378;Brancas/Rosadas
2017;Moscato Canelli;57083;Brancas/Rosadas
2018;Moscato Canelli;121008;Brancas/Rosadas
2020;Moscato Canelli;138482;Brancas/Rosadas
2021;Moscato Canelli;109714;Brancas/Rosadas
2006;Moscato Giallo;776846;Brancas/Rosadas
2007;Moscato Giallo;1173519;Brancas/Rosadas
2008;Moscato Giallo;1122457;Brancas/Rosadas
2009;Moscato Giallo;1446926;Brancas/Rosadas
2010;Moscato Giallo;1151570;Brancas/Rosadas
2011;Moscato Giallo;1949920;Brancas/Rosadas
2012;Moscato Giallo;1641498;Brancas/Rosadas
2013;Moscato Giallo;1813522;Brancas/Rosadas
2014;Moscato Giallo;1742605;Brancas/Rosadas
2015;Moscato Giallo;1785956;Brancas/Rosadas
2016;Moscato Giallo;813952;Brancas/Rosadas
2017;Moscato Giallo;2091933;Brancas/Rosadas
2018;Moscato Giallo;1590531;Brancas/Rosadas
2020;Moscato Giallo;1597829;Brancas/Rosadas
2021;Moscato Giallo;6365205;Brancas/Rosadas
2006;Moscato Nazareno;544530;Brancas/Rosadas
2007;Moscato Nazareno;616480;Brancas/Rosadas
2008;Moscato Nazareno;1035000;Brancas/Rosadas
2009;Moscato Nazareno;858910;Brancas/Rosadas
2010;Moscato Nazareno;690210;Brancas/Rosadas
2011;Moscato Nazareno;882104;Brancas/Rosadas
2012;Moscato Nazareno;633606;Brancas/Rosadas
2013;Moscato Nazareno;831206;Brancas/Rosadas
2014;Moscato Nazareno;886808;Brancas/Rosadas
2015;Moscato Nazareno;886075;Brancas/Rosadas
2016;Moscato Nazareno;361638;Brancas/Rosadas
2017;Moscato Nazareno;890655;Brancas/Rosadas
2018;Moscato Nazareno;639810;Brancas/Rosadas
2020;Moscato Nazareno;554762;Brancas/Rosadas
2021;Moscato Nazareno;77912;Brancas/Rosadas
2006;Moscato Bianco R2;331718;Brancas/Rosadas
2007;Moscato Bianco R2;406650;Brancas/Rosadas
2008;Moscato Bianco R2;430599;Brancas/Rosadas
2009;Moscato Bianco R2;510594;Brancas/Rosadas
2010;Moscato Bianco R2;317404;Brancas/Rosadas
2011;Moscato Bianco R2;808748;Brancas/Rosadas
2012;Moscato Bianco R2;618266;Brancas/Rosadas
2013;Moscato Bianco R2;678267;Brancas/Rosadas
2014;Moscato Bianco R2;770265;Brancas/Rosadas
2015;Moscato Bianco R2;863910;Brancas/Rosadas
2016;Moscato Bianco R2;257647;Brancas/Rosadas
2017;Moscato Bianco R2;868260;Brancas/Rosadas
2018;Moscato Bianco R2;867445;Brancas/Rosadas
2020;Moscato Bianco R2;864917;Brancas/Rosadas
2021;Moscato Bianco R2;2920047;Brancas/Rosadas
2006;Moscato de Alexandria;32129;Brancas/Rosadas
2007;Moscato de Alexandria;51979;Brancas/Rosadas
2008;Moscato de Alexandria;85756;Brancas/Rosadas
2009;Moscato de Alexandria;87359;Brancas/Rosadas
2010;Moscato de Alexandria;41426;Brancas/Rosadas
2011;Moscato de Alexandria;105384;Brancas/Rosadas
2012;Moscato de Alexandria;184748;Brancas/Rosadas
2013;Moscato de Alexandria;211532;Brancas/Rosadas
2014;Moscato de Alexandria;160290;Brancas/Rosadas
2015;Moscato de Alexandria;192945;Brancas/Rosadas
2016;Moscato de Alexandria;53037;Brancas/Rosadas
2017;Moscato de Alexandria;115910;Brancas/Rosadas
2018;Moscato de Alexandria;95647;Brancas/Rosadas
2020;Moscato de Alexandria;153442;Brancas/Rosadas
2021;Moscato de Alexandria;431897;Brancas/Rosadas
